TID,FIRST_NAME,LAST_NAME,TYPE,TITLE,ABSTRACT
1,Jenny,Salinasan,MS31: Matrix decompositions and applications,The $\phi_S$ polar decomposition when $S$ is skew-symmetric,"Let $F$ be a field with characteristic not equal to $2$, and $S \in M_{2n}(F)$ be skew-symmetric $(S^{\top}=-S)$ and nonsingular.
Let $\phi_S$ be the function defined by $\phi_S(A)=S^{-1}A^{\top}S$ for all $A \in M_{2n}(F)$.
Suppose $A \in M_{2n}(F)$.
We say that $A$ is $\phi_S$-orthogonal if $A$ is nonsingular and $\phi_S(A)=A^{-1}$; and $A$ is $\phi_S$-symmetric if $\phi_S(A)=A$.
We say that $A$ has a $\phi_S$ polar decomposition if $A=XY$ for some $\phi_S$-orthogonal $X \in M_{2n}(F)$ and $\phi_S$-symmetric $Y\in M_{2n}(F)$. 
We give necessary and sufficient conditions for an $X \in M_{2n}(F)$ to have a $\phi_S$ polar decomposition."
2,Milica,Anđelić,MS21: Linear algebra techniques in graph theory,Laplacian eigenvalues of weighted threshold graphs,We provide a closed formula to compute the Laplacian spectrum of weighted threshold graphs. We also show that their Laplacian eigenvalues are the parts of the conjugate partition of the associated weighted Ferrers diagrams.
3,Somdeb,Lahiri,Contributed talk,Uniqueness of solution for linear optimization,"We provide an easy proof of theorem 1 in Mangasarian (1979), based on a new result in terms of two statements that are each equivalent to a given solution of a linear programming problem being its unique solution."
4,Hamide,Dogan,Contributed talk,Recursions among and classification of singular $k$-tridiagonal Toeplitz matrices,"We introduce a novel L/N factorization approach, inspired by Doolittle's L/U factorization, for 
$k$-tridiagonal Toeplitz matrices, $T^{(k)}_n$, where $n=km+s$ and $\det(T^{(1)}_p)=0$ for $p<m$. This factorization allows for the derivation of recursion expressions and provides a classification of singular Toeplitz matrices."
5,Hung-Yuan,Fan,MS11: Structured matrix computations and its applications,Inheritance properties of conjugate discrete-time algebraic Riccati equations,"In this talk we consider a class of conjugate discrete-time Riccati equations, arising originally from the linear quadratic regulator problem for discrete-time antilinear systems. Under mild and reasonable assumptions, the existence of the maximal solution to the conjugate discrete-time Riccati equation, in which the control weighting matrix is nonsingular and its constant term is Hermitian, will be inherited to a transformed discrete-time algebraic Riccati equation. Based on this inheritance property, an accelerated fixed-point iteration is proposed for finding the maximal solution via the transformed Riccati equation. Numerical examples are shown to illustrate the correctness of our theoretical results and the feasibility of the proposed algorithm."
6,Shinya,Miyajima,MS1: Embracing new opportunities in numerical linear algebra,Some norm bounds on the complimentary error matrix functions,"Let $A \in \mathbf{C}^{n \times n}$ be a square matrix such that ${\rm Re}(\lambda) > |{\rm Im}(\lambda)|$, $\forall \lambda \in \sigma(A)$, where $\sigma(A)$ is the spectrum of $A$. 
The error matrix function ${\rm erf}(A)$ and complimentary error matrix function ${\rm erfc}(A)$, which are introduced in \cite{Cortes}, are defined as 
$$
{\rm erf}(A) := \frac{2A}{\sqrt{\pi}}\int_{0}^{1} e^{-(Av)^{2}} dv \quad \mbox{and} \quad {\rm erfc}(A) := \frac{2A}{\sqrt{\pi}}\int_{1}^{\infty} e^{-(Av)^{2}} dv,
$$
respectively. 

One of the most important application of the complimentary error matrix function is the solution to systems of partial differential equation. 
Let $u_0, u(x,t) \in \mathbf{C}^n$. 
It is proven in \cite{Cortes} that the solution to semi-finite coupled diffusion problem 
\begin{eqnarray*}
u_{t} &=& A^2u_{xx}, \ x>0, \ t>0, \\
u(x,0) &=& 0, \ x>0, \quad 
u(0,t) = u_{0}, \ t>0, \quad 
u(x,t) \to 0, \ \textrm{as} \ x\rightarrow\infty, \ t > 0
\end{eqnarray*}
can be represented by using the complimentary error matrix function as follows:
$$
u(x,t) = {\rm erfc}\left(\frac{A^{-1}x}{2\sqrt{t}}\right)u_{0}, \quad x>0, \quad t>0. 
$$

Analogously to the scaler case, the functions ${\rm erf}(A)$ and ${\rm erfc}(A)$ satisfy the property ${\rm erf}(A) + {\rm erfc}(A) = I$, where $I$ is the $n \times n$ identity matrix. 
According to the Taylor expansion of $e^{-(Av)^{2}}$ where $v \in [0,1]$, and integrating term by term, we obtain 
$$
{\rm erf}(A) = \frac{2A}{\sqrt{\pi}}\sum_{k=0}^{\infty}\frac{(-1)^k A^{2k}}{k! (2k+1)}, 
$$
which is the Taylor expansion of ${\rm erf}(A)$ \cite{Cortes}. 
From this expansion and ${\rm erf}(A) + {\rm erfc}(A) = I$, we obtain 
$$
{\rm erfc}(A) = I - \frac{2A}{\sqrt{\pi}}\sum_{k=0}^{\infty}\frac{(-1)^k A^{2k}}{k! (2k+1)}. 
$$
In \cite{Cortes}, an upper bound on $\|{\rm erfc}(A)\|_2$ under the condition ${\rm Re}(\lambda) > |{\rm Im}(\lambda)|$, $\forall \lambda \in \sigma(A)$ has been derived as a corollary of the fact that ${\rm erfc}(A)$ is well-defined. 

The purpose of this talk is to present the following norm bounds: 
\begin{itemize}
\item a new upper bound on $\|{\rm erfc}(A)\|_2$ under a condition which is different from ${\rm Re}(\lambda) > |{\rm Im}(\lambda)|$, $\forall \lambda \in \sigma(A)$, 
\item upper bounds on $\|{\rm erf}(A) - {\rm erf}(B)\|_2$ and $\|{\rm erfc}(A) - {\rm erfc}(B)\|_2$, where $B \in \mathbf{C}^{n \times n}$, under an assumption, and 
\item upper bounds on 
$$
\left\|{\rm erf}(A) - \frac{2A}{\sqrt{\pi}}\sum_{k=0}^{m}\frac{(-1)^k A^{2k}}{k! (2k+1)}\right\|_2 \ \mbox{and} \ 
\left\|{\rm erfc}(A) - \left(I - \frac{2A}{\sqrt{\pi}}\sum_{k=0}^{m}\frac{(-1)^kA^{2k}}{k!(2k+1)}\right)\right\|_2,
$$ 
where $m$ is a nonnegative integer, under an assumption. 
\end{itemize}
We report results of numerical experiments in order to observe how much larger the presented bounds are compared to the corresponding norms. 
This talk is based on the joint work with Prof. Amir Sadeghi in Islamic Azad University. 

\begin{thebibliography}{5}
\bibitem{Cortes}
J. Cort$\acute{{\rm e}}$s, R. Company, L. J$\acute{{\rm o}}$dar, 
The complementary error matrix function and its role solving coupled diffusion mathematical models, 
Math. Comput. Modell, 42(9--10), 1023--1034 (2005). 
\end{thebibliography}"
7,Hareshkumar,Jadav,Contributed talk,Generalizing Wilf's inequality for strongly regular graphs,"The clique number $\omega$ is the size of the largest clique in any graph. Determining the clique number is an NP-complete problem, which implies that there is no polynomial-time algorithm to solve it. Wilf's inequality provides a spectral bound for the clique number of simple graphs, given by $\frac{n}{n - \lambda_{1}} \leq \omega$, where $\lambda_1$ is the largest eigenvalue of the adjacency matrix, and $n$ is the number of vertices in the graph. Strengthening this bound, Elphick and Wocjan proposed a conjecture in 2018 that is $\frac{n}{n - \sqrt{s^{+}}} \leq \omega$, where $s^+ = \sum_{\lambda_{i} > 0} \lambda_{i}^2$ and $\lambda_i$ are eigenvalues of the adjacency matrix. In this work, we have settled this conjecture for seven different classes of graphs: (1) Paley graphs which are strongly regular graphs with parameters $srg(4\beta + 1, 2\beta, \beta - 1, \beta)$, where $q$ is a prime power and $q \equiv 1 \pmod{4}$; (2) strongly regular graphs with $\alpha = \beta$ (i.e., $srg(n, d, \beta, \beta)$); (3) the line graph of $K_{m,m}$; (4) the line graph of $K_{n}$; (5) the Cartesian product of strongly regular graphs $G$ with $G$, where $G$ is a strongly regular graph; (6) general Rook's graphs; and (7) Ramanujan graphs, where the second largest eigenvalue follows the property $\lambda_2 \leq 2\sqrt{d-1}$."
8,Sing-Yuan,Yeh,MS20: Manifold learning and statistical applications,Landmark diffusion accelerates alternating diffusion maps for multi-sensor fusion,"Alternating Diffusion (AD) is a commonly applied diffusion-based sensor fusion algorithm. While it has been successfully applied to various problems, its computational burden remains limited. Inspired by the landmark diffusion idea considered in the Robust and Scalable Embedding via Landmark Diffusion (ROSELAND), we propose a variation of AD, called Landmark AD (LAD), which captures the essence of AD while offering superior computational efficiency. Through a series of theoretical analyses, we investigate the sample complexity of LAD within the manifold setup. We then apply LAD to address the automatic sleep stage annotation problem using two electroencephalogram channels, demonstrating its efficacy in practical applications."
9,Tian-Xiao,He,MS25: Enumerative/algebraic combinatorics and matrices,High-order eulerian numbers and matrices,We study the properties of the higher-order Eulerian numbers and the higher-order Eulerian matrices. The row generating functions and the row sums of the higher-order Eulerian matrices are given. We also define higher-order Eulerian fractions and their alternative forms. Some properties of higher-order Eulerian fractions are expressed using differentials and integrals. The inversion relationships between second-order Eulerian numbers and Stirling numbers of the second and first kinds are given. We also give exact expressions for the entries of higher-order Eulerian matrices.
10,Yuki,Nishida,Contributed talk,Comparison of several schemes for the CSR expansion of max-plus matrices,"Max-plus algebra is a semiring with addition $a\oplus b := \max(a,b)$ and $a\otimes b := a+b$. The CSR expansion of a max-plus square matrix $A$ is a decomposition of the matrix power $A^{\otimes t}$ into the sum of matrices of the forms $C \otimes S^{\otimes t} \otimes R$, where $S$ is a permutation matrix. Several schemes for the CSR expansion have been introduced, such as Nachtigall (1997), Hartmann-Arguelles (1999) and Merlet et al.~(2014). In Nishida (2025), the author proposes a new scheme for the CSR expansion based on the factorization of the characteristic polynomial of a max-plus matrix. In this study, we compare the CSR expansions given by these schemes from the viewpoint of the transient bound, which is the minimum exponent $t$ such that the expansion is valid, and the number of terms in the expansion."
